Date,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,ABBOTINDIA.NS,ZYDUSLIFE.NS,JBCHEPHARM.NS,POLYMED.NS,RELIANCE.NS,NTPC.NS,COALINDIA.NS,ADANIPOWER.NS,BPCL.NS,GSPL.NS,UNOMINDA.NS,ITC.NS,MARICO.NS,BRITANNIA.NS,COLPAL.NS,VBL.NS,BALRAMCHIN.NS,NAVNETEDUL.NS
2019-11-18,429.4361572265625,498.6321716308594,461.1319885253906,11996.7919921875,239.62486267089844,184.7333984375,206.78070068359375,687.4777221679688,89.85713195800781,119.06639862060547,60.5,186.91351318359375,204.25274658203125,172.32655334472656,200.74502563476562,330.9639892578125,2735.82373046875,1350.498046875,63.255699157714844,135.14613342285156,91.16944122314453
2019-11-25,427.2989807128906,506.0302429199219,449.4315185546875,12001.5625,242.5354766845703,185.7426300048828,203.0371856689453,689.5447387695312,88.75106811523438,122.80590057373047,63.599998474121094,187.70242309570312,204.0631561279297,170.4344482421875,199.7317352294922,332.90643310546875,2767.5478515625,1323.2996826171875,62.683650970458984,147.72189331054688,92.62266540527344
2019-12-02,407.1142272949219,502.02728271484375,438.59783935546875,12214.240234375,243.6329345703125,189.28662109375,201.4116973876953,691.2118530273438,85.92874908447266,114.87814331054688,59.79999923706055,179.2447052001953,208.47146606445312,168.12464904785156,197.25942993164062,315.51654052734375,2778.31884765625,1329.044677734375,61.370513916015625,158.05274963378906,87.3339614868164
2019-12-09,417.2303466796875,489.9924011230469,444.1832275390625,12386.7978515625,249.0724639892578,197.1256561279297,205.50003051757812,703.658935546875,88.21713256835938,117.42100524902344,61.29999923706055,182.27186584472656,206.9072265625,169.9676055908203,195.84088134765625,309.0415954589844,2764.560546875,1325.588623046875,60.73344421386719,164.811279296875,83.91735076904297
2019-12-16,408.7290344238281,497.2601318359375,448.5167236328125,12389.1826171875,253.98709106445312,198.5807647705078,211.85418701171875,710.8604125976562,87.49246978759766,120.14337158203125,61.900001525878906,178.9878692626953,206.48062133789062,168.24749755859375,195.47607421875,312.1865539550781,2825.97216796875,1324.107666015625,60.69444274902344,168.3353729248047,84.90020751953125
2019-12-23,404.64453125,503.2081604003906,463.2987365722656,12589.1708984375,244.11007690429688,201.2798614501953,210.67201232910156,685.6328735351562,89.1324691772461,121.75885772705078,60.25,180.1436767578125,205.95919799804688,174.39064025878906,192.0310516357422,315.239013671875,2753.428466796875,1305.4815673828125,60.56876754760742,177.8938446044922,82.56006622314453
2019-12-30,422.3121643066406,500.8289794921875,452.5613098144531,12640.6943359375,248.1181640625,206.0208282470703,212.69154357910156,683.3212280273438,91.03946685791016,126.75484466552734,63.25,177.41004943847656,223.4503173828125,179.69827270507812,193.3280029296875,309.50408935546875,2750.441162109375,1310.5533447265625,60.88079071044922,178.32830810546875,86.5383071899414
2020-01-06,421.3622131347656,509.3558654785156,455.9799499511719,11959.8662109375,246.3526611328125,207.96884155273438,212.44525146484375,687.9888916015625,91.76411437988281,122.83583068847656,61.20000076293945,172.54823303222656,223.7821502685547,195.15432739257812,192.92269897460938,312.7415466308594,2706.045654296875,1309.0721435546875,63.693416595458984,177.9904022216797,87.89559173583984
2020-01-13,431.81085205078125,526.9567260742188,462.5282897949219,11985.388671875,256.8499450683594,223.08363342285156,249.28945922851562,702.8142700195312,92.45064544677734,124.39146423339844,64.5999984741211,166.54896545410156,231.69818115234375,191.41932678222656,194.5033721923828,323.4715270996094,2827.9638671875,1355.3900146484375,65.15389251708984,185.37648010253906,91.73341369628906
2020-01-20,425.3516845703125,526.4443969726562,441.8720397949219,12019.546875,259.712890625,232.82371520996094,263.03216552734375,676.3865356445312,87.5306167602539,116.04487609863281,63.54999923706055,171.0255126953125,240.08824157714844,206.45767211914062,193.04429626464844,315.0078125,2889.556396484375,1359.340087890625,73.64807891845703,170.79739379882812,92.20144653320312
